,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,1,1.0,20.16,20.16,100.0,2,3.6346525608868814
0,2,1.0,6.5,6.5,100.0,3,1.269567157769246
0,3,1.0,219.6,219.6,100.0,15,54.323607586214514
0,4,1.0,279.44,279.44,100.0,18,63.842125966332695
0,5,1.0,183.38,183.38,100.0,12,47.67212885993882
0,6,1.0,281.45,249.06,88.49,16,65.87706810963418
0,7,1.0,235.8,235.8,100.0,14,60.011576437621834
0,8,1.0,267.84,258.84,96.64,16,57.771670613742444
0,9,1.0,228.96,228.96,100.0,15,54.90273568570873
0,10,1.0,236.74,236.74,100.0,17,60.05240606125457
0,11,1.0,259.1,259.1,100.0,17,73.85357499382035
0,12,1.0,283.46,283.46,100.0,18,71.59467591324929
0,13,1.0,28.2,28.2,100.0,3,8.34567577984465
0,14,1.0,75.6,75.6,100.0,4,20.568667992335982
0,15,1.0,7.2,7.2,100.0,1,0.9399855725038194
0,16,1.0,338.26,331.83,98.1,18,63.228308060810825
0,17,1.0,193.68,193.68,100.0,13,39.10547678830686
0,18,1.0,185.47,185.47,100.0,14,37.21921714079515
0,19,1.0,227.88,227.88,100.0,14,58.15487518938429
0,20,1.0,28.63,28.63,100.0,3,8.38361520505248
0,21,1.0,54.0,54.0,100.0,3,13.139890513199965
0,22,1.0,224.78,216.68,96.4,15,52.8682479237852
0,23,1.0,385.06,368.47,95.69,21,71.40191119655142
0,24,1.0,175.68,175.68,100.0,11,41.19196104834832
0,25,1.0,168.98,168.98,100.0,11,36.57648756819282
0,26,1.0,253.08,253.08,100.0,18,65.72603172959879
0,27,1.0,3.05,3.05,100.0,1,0.7247574624042172
0,28,1.0,302.66,295.27,97.56,20,73.580754115948
0,29,1.0,298.08,298.08,100.0,21,65.75349851134949
0,30,1.0,254.52,254.52,100.0,18,62.174385499579834
0,31,1.0,216.58,216.58,100.0,17,60.6004188802742
0,32,1.0,333.72,320.2,95.95,18,74.59743191716005
0,33,1.0,27.17,27.17,100.0,3,7.291303218317256
0,34,1.0,273.6,273.6,100.0,17,55.77321512986023
0,35,1.0,250.92,250.92,100.0,17,52.17858915805443
0,36,1.0,287.5,287.5,100.0,18,61.19345222791939
0,37,1.0,221.88,221.88,100.0,15,46.64346257200134
0,38,1.0,210.6,210.6,100.0,15,50.02529121928213
0,39,1.0,2.59,2.59,100.0,2,0.5658211692703382
0,40,1.0,41.76,41.76,100.0,2,8.83910880837018
0,41,1.0,348.34,341.46,98.02,21,74.27660887972225
0,42,1.0,291.24,291.24,100.0,16,50.03066392712771
0,43,1.0,209.3,209.3,100.0,17,37.53775630407437
0,44,1.0,250.06,249.41,99.74,16,41.68674681334196
0,45,1.0,33.84,33.84,100.0,2,8.336243248435338
0,46,1.0,59.04,59.04,100.0,4,10.935795682666578
0,47,1.0,222.12,222.12,100.0,16,41.15499976997657
0,48,1.0,387.22,387.22,100.0,26,72.82993345436795
0,49,1.0,361.8,361.8,100.0,26,69.88457587935324
0,50,1.0,273.6,273.6,100.0,17,50.08615419454057
0,51,1.0,355.32,355.32,100.0,26,60.28222413152788
0,52,1.0,38.98,38.98,100.0,4,9.737780506603924
0,53,1.0,34.2,34.2,100.0,1,9.767381699989375
0,54,1.0,244.56,244.56,100.0,19,37.798182591640966
0,55,1.0,287.14,287.14,100.0,20,50.77703367303681
0,56,1.0,270.72,267.05,98.64,17,47.569457357221154
0,57,1.0,264.0,264.0,100.0,19,32.57195685796701
0,58,1.0,270.72,270.72,100.0,18,48.00114324037582
0,59,1.0,51.7,51.7,100.0,6,13.181308598096035
0,60,1.0,33.84,33.84,100.0,3,10.540707807707058
0,61,1.0,249.12,248.12,99.6,18,62.24216260140118
0,62,1.0,254.52,254.52,100.0,19,50.91548103021584
0,63,1.0,274.46,274.46,100.0,18,55.10339906706596
0,64,1.0,270.84,270.84,100.0,18,43.68938722675129
0,65,1.0,274.46,274.46,100.0,19,62.26270446347809
0,66,1.0,51.0,51.0,100.0,5,8.224976347657632
0,67,1.0,311.73,299.2,95.98,19,49.999445368899224
0,68,1.0,358.56,358.56,100.0,25,77.65677456092219
0,69,1.0,299.16,299.16,100.0,19,72.48781436740998
0,70,1.0,254.64,254.64,100.0,18,59.609549767537096
0,71,1.0,346.32,346.32,100.0,22,44.18604095518283
0,72,1.0,68.4,68.4,100.0,6,10.52317574370973
0,73,1.0,44.64,44.64,100.0,4,10.668677893827796
0,74,1.0,217.22,217.22,100.0,18,41.198795242282884
0,75,1.0,385.56,380.57,98.71,23,84.26535655282835
0,76,1.0,275.4,275.4,100.0,20,65.89640307093468
0,77,1.0,247.08,247.08,100.0,16,59.814195002566365
0,78,1.0,256.54,256.54,100.0,20,44.21790540661433
0,79,1.0,24.41,24.41,100.0,3,5.70626868178786
0,80,1.0,57.6,57.6,100.0,3,12.540500927733707
0,81,1.0,261.69,261.69,100.0,20,46.873793744910785
0,82,1.0,363.53,363.53,100.0,27,70.87716044387189
0,83,1.0,306.0,294.18,96.14,21,59.710021452791715
0,84,1.0,349.32,337.71,96.68,23,67.28173881533145
0,85,1.0,229.32,229.32,100.0,17,42.809566868572674
0,86,1.0,44.64,44.64,100.0,3,9.774967471434495
0,87,1.0,8.64,8.64,100.0,1,2.2941443002775515
0,88,1.0,275.76,275.76,100.0,20,43.68716513187674
0,89,1.0,277.78,277.78,100.0,20,52.7403075027604
0,90,1.0,270.0,270.0,100.0,21,56.43500850484876
0,91,1.0,304.68,299.27,98.22,18,51.68029265515786
0,92,1.0,343.58,343.58,100.0,22,46.696348133832785
0,93,1.0,21.6,21.6,100.0,2,5.9431718042652575
0,94,1.0,14.4,14.4,100.0,1,1.4396963182607745
0,95,1.0,341.28,336.58,98.62,20,47.6455945594663
0,96,1.0,318.24,305.15,95.89,18,41.69255389488192
0,97,1.0,329.18,329.18,100.0,22,44.56369595371265
0,98,1.0,322.82,311.1,96.37,21,39.697692648556014
0,99,1.0,383.76,376.68,98.16,24,41.6551842362778
0,100,1.0,50.16,50.16,100.0,6,8.516286748939994
0,101,1.0,106.42,106.42,100.0,7,15.29262141498193
0,102,1.0,420.48,420.48,100.0,31,54.25173257959806
0,103,1.0,356.76,354.32,99.32,27,49.5961449574826
0,104,1.0,335.92,335.92,100.0,26,50.20570159783066
0,105,1.0,431.14,422.49,97.99,32,63.3837325129003
0,106,1.0,273.24,273.24,100.0,17,42.04667097288322
0,107,1.0,28.8,28.8,100.0,2,5.539589764494996
0,108,1.0,28.8,28.8,100.0,1,2.980781923682176
0,109,1.0,200.3,200.3,100.0,17,24.67969848771132
0,110,1.0,407.16,407.16,100.0,25,52.552719840907386
0,111,1.0,295.18,295.18,100.0,21,47.333387051954794
