,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,2,2,20.16,20.16,100.0,2,4.261609490354784
0,3,2,6.5,6.5,100.0,3,1.3202647880111207
0,4,2,219.6,219.6,100.0,15,54.58337433814665
0,5,2,279.44,279.44,100.0,18,64.8172285640784
0,6,2,183.38,183.38,100.0,12,47.95449939357527
0,7,2,281.45,249.06,88.49,16,66.93588877388842
0,8,2,235.8,235.8,100.0,14,60.59208867414347
0,9,2,267.84,258.84,96.64,16,58.669072359125714
0,10,2,228.96,228.96,100.0,15,55.5660739268067
0,11,2,236.74,236.74,100.0,17,60.671666811732706
0,12,2,259.1,259.1,100.0,17,75.05003768912154
0,13,2,283.46,283.46,100.0,18,72.42496240210951
0,14,2,28.2,28.2,100.0,3,8.373714077089284
0,15,2,75.6,75.6,100.0,4,20.574082311452955
0,16,2,7.2,7.2,100.0,1,0.9399855725038194
0,17,2,338.26,331.83,98.1,18,67.2578065102819
0,18,2,193.68,193.68,100.0,13,40.650532146077126
0,19,2,185.47,185.47,100.0,14,38.678901033083854
0,20,2,227.88,227.88,100.0,14,58.43619629796305
0,21,2,28.63,28.63,100.0,3,8.418049413193238
0,22,2,54.0,54.0,100.0,3,13.153256798212134
0,23,2,224.78,216.68,96.4,15,53.39432290853792
0,24,2,385.06,368.47,95.69,21,73.2932531111491
0,25,2,175.68,175.68,100.0,11,41.468611898220296
0,26,2,168.98,168.98,100.0,11,39.04839841701911
0,27,2,253.08,253.08,100.0,18,66.5541425886925
0,28,2,3.05,3.05,100.0,1,0.7252626802670213
0,29,2,302.66,295.27,97.56,20,75.00286603292734
0,30,2,298.08,298.08,100.0,21,68.67818301775863
0,31,2,254.52,254.52,100.0,18,65.22947441195558
0,32,2,216.58,216.58,100.0,17,62.85308141785674
0,33,2,333.72,320.2,95.95,18,77.41295274500854
0,34,2,27.17,27.17,100.0,3,7.306563350747698
0,35,2,273.6,273.6,100.0,17,58.108874396320935
0,36,2,250.92,250.92,100.0,17,54.523332821725916
0,37,2,287.5,287.5,100.0,18,63.36087130546588
0,38,2,221.88,221.88,100.0,15,49.133267083447166
0,39,2,210.6,210.6,100.0,15,51.73263976652025
0,40,2,2.59,2.59,100.0,2,0.5801849077185806
0,41,2,41.76,41.76,100.0,2,8.991891353014164
0,42,2,348.34,341.46,98.02,21,76.71707995413752
0,43,2,291.24,291.24,100.0,16,52.06856654612108
0,44,2,209.3,209.3,100.0,17,40.15468748906901
0,45,2,250.06,249.41,99.74,16,46.016522091041935
0,46,2,33.84,33.84,100.0,2,8.445462474079545
0,47,2,59.04,59.04,100.0,4,11.193012208097512
0,48,2,222.12,222.12,100.0,16,45.64097718648471
0,49,2,387.22,387.22,100.0,26,75.64466163112354
0,50,2,361.8,361.8,100.0,26,73.85726015619332
0,51,2,273.6,273.6,100.0,17,52.752997607882044
0,52,2,355.32,355.32,100.0,26,65.06670951710277
0,53,2,38.98,38.98,100.0,4,9.754522064916765
0,54,2,34.2,34.2,100.0,1,9.846572474313952
0,55,2,244.56,244.56,100.0,19,42.21146888853308
0,56,2,287.14,287.14,100.0,20,54.304883362905294
0,57,2,270.72,267.05,98.64,17,51.182119727788205
0,58,2,264.0,264.0,100.0,19,37.39437067290504
0,59,2,270.72,270.72,100.0,18,49.698808408888496
0,60,2,51.7,51.7,100.0,6,13.289446819257398
0,61,2,33.84,33.84,100.0,3,10.634260084894166
0,62,2,249.12,248.12,99.6,18,63.766115009284285
0,63,2,254.52,254.52,100.0,19,52.87956371572171
0,64,2,274.46,274.46,100.0,18,59.380685547667184
0,65,2,270.84,270.84,100.0,18,45.75934298426633
0,66,2,274.46,274.46,100.0,19,66.49288788223119
0,67,2,51.0,51.0,100.0,5,8.368484157181424
0,68,2,311.73,299.2,95.98,19,52.018827503109776
0,69,2,358.56,358.56,100.0,25,81.008754682295
0,70,2,299.16,299.16,100.0,19,74.56500176415565
0,71,2,254.64,254.64,100.0,18,62.77465980251716
0,72,2,346.32,346.32,100.0,22,46.811049069873995
0,73,2,68.4,68.4,100.0,6,12.70787216667279
0,74,2,44.64,44.64,100.0,4,10.69927106141098
0,75,2,217.22,217.22,100.0,18,42.009789634793904
0,76,2,385.56,378.17,98.08,23,85.43682030167382
0,77,2,275.4,275.4,100.0,20,68.25181290612103
0,78,2,247.08,247.08,100.0,16,61.296150106511654
0,79,2,256.54,256.54,100.0,20,47.25978103791128
0,80,2,24.41,24.41,100.0,3,5.723756981996261
0,81,2,57.6,57.6,100.0,3,12.695486632543977
0,82,2,261.69,261.69,100.0,20,51.240771641821155
0,83,2,363.53,362.18,99.63,27,73.66568000949377
0,84,2,306.0,294.18,96.14,21,63.31097552097161
0,85,2,349.32,337.71,96.68,23,70.04345401656728
0,86,2,229.32,229.32,100.0,17,47.48547707373621
0,87,2,44.64,44.64,100.0,3,9.922924477575258
0,88,2,8.64,8.64,100.0,1,2.3313346312179064
0,89,2,275.76,275.76,100.0,20,49.16282105609342
0,90,2,277.78,277.78,100.0,20,53.13894197422887
0,91,2,270.0,270.0,100.0,21,57.47932618161871
0,92,2,304.68,299.27,98.22,18,53.132984934730594
